# Time (s),Altitude (m)
37.865,1.224e4
37.915,1.225e4
37.965,1.226e4
38.015,1.228e4
38.065,1.229e4
38.115,1.23e4
38.165,1.231e4
38.215,1.232e4
38.265,1.233e4
38.315,1.234e4
38.365,1.235e4
38.415,1.236e4
38.465,1.238e4
38.515,1.239e4
38.565,1.24e4
38.615,1.241e4
38.665,1.242e4
38.715,1.243e4
38.765,1.244e4
38.815,1.245e4
38.865,1.246e4
38.915,1.247e4
38.965,1.248e4
39.015,1.249e4
39.065,1.25e4
39.115,1.252e4
39.165,1.253e4
39.215,1.254e4
39.265,1.255e4
39.315,1.256e4
39.365,1.257e4
39.415,1.258e4
39.465,1.259e4
39.515,1.26e4
39.565,1.261e4
39.615,1.262e4
39.665,1.263e4
39.715,1.264e4
39.765,1.265e4
39.815,1.266e4
39.865,1.267e4
39.915,1.268e4
39.965,1.269e4
40.015,1.27e4
40.065,1.271e4
40.115,1.272e4
40.165,1.273e4
40.215,1.274e4
40.265,1.275e4
40.315,1.276e4
40.365,1.277e4
40.415,1.278e4
40.465,1.279e4
40.515,1.28e4
40.565,1.281e4
40.615,1.282e4
40.665,1.283e4
40.715,1.284e4
40.765,1.285e4
40.815,1.286e4
40.865,1.287e4
40.915,1.288e4
40.965,1.289e4
41.015,1.29e4
41.065,1.291e4
41.115,1.291e4
41.165,1.292e4
41.215,1.293e4
41.265,1.294e4
41.315,1.295e4
41.365,1.296e4
41.415,1.297e4
41.465,1.298e4
41.515,1.299e4
41.565,1.3e4
41.615,1.301e4
41.665,1.302e4
41.715,1.303e4
41.765,1.303e4
41.815,1.304e4
41.865,1.305e4
41.915,1.306e4
41.965,1.307e4
42.015,1.308e4
42.065,1.309e4
42.115,1.31e4
42.165,1.311e4
42.215,1.312e4
42.265,1.312e4
42.315,1.313e4
42.365,1.314e4
42.415,1.315e4
42.465,1.316e4
42.515,1.317e4
42.565,1.318e4
42.615,1.318e4
42.665,1.319e4
42.715,1.32e4
42.765,1.321e4
42.815,1.322e4
42.865,1.323e4
42.915,1.324e4
42.965,1.324e4
43.015,1.325e4
43.065,1.326e4
43.115,1.327e4
43.165,1.328e4
43.215,1.329e4
43.265,1.329e4
43.315,1.33e4
43.365,1.331e4
43.415,1.332e4
43.465,1.333e4
43.515,1.334e4
43.565,1.334e4
43.615,1.335e4
43.665,1.336e4
43.715,1.337e4
43.765,1.338e4
43.815,1.338e4
43.865,1.339e4
43.915,1.34e4
43.965,1.341e4
44.015,1.342e4
44.065,1.342e4
44.115,1.343e4
44.165,1.344e4
44.215,1.345e4
44.265,1.345e4
44.315,1.346e4
44.365,1.347e4
44.415,1.348e4
44.465,1.348e4
44.515,1.349e4
44.565,1.35e4
44.615,1.351e4
44.665,1.351e4
44.715,1.352e4
44.765,1.353e4
44.815,1.354e4
44.865,1.354e4
44.915,1.355e4
44.965,1.356e4
45.015,1.357e4
45.065,1.357e4
45.115,1.358e4
45.165,1.359e4
45.215,1.36e4
45.265,1.36e4
45.315,1.361e4
45.365,1.362e4
45.415,1.362e4
45.465,1.363e4
45.515,1.364e4
45.565,1.365e4
45.615,1.365e4
45.665,1.366e4
45.715,1.367e4
45.765,1.367e4
45.815,1.368e4
45.865,1.369e4
45.915,1.369e4
45.965,1.37e4
46.015,1.371e4
46.065,1.371e4
46.115,1.372e4
46.165,1.373e4
46.215,1.373e4
46.265,1.374e4
46.315,1.375e4
46.365,1.375e4
46.415,1.376e4
46.465,1.377e4
46.515,1.377e4
46.565,1.378e4
46.615,1.379e4
46.665,1.379e4
