# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
20.64,6035.955,545.054,-32.022,564.518,32.987,1353.891,1.289,1353.892,0.055,146.96,7.92,35.353,-117.792,9.777,0.137,-1.14e-8,0.002,3.897e-6,6.78e4,5330,130.948,0.817,405.421,352.519,2.192,1.801,1.199e8,0,1594.487,0.355,0.355,0.217,0.092,0.047,0.025,0.055,3.969e-4,0,0,0,0,8.593e-6,0.068,24.13,457.303,74.562,0.086,4.999,-28.309,430.655,314.144,0.05,0.591
20.69,6063.168,543.455,-31.987,562.873,32.833,1361.229,1.3,1361.23,0.055,146.571,7.404,35.353,-117.792,9.777,0.095,1.44e-8,0.005,2.928e-5,6.78e4,5330,130.948,0.817,405.918,352.519,2.213,1.797,1.192e8,0,1582.991,0.356,0.356,0.217,0.092,0.047,0.017,0.038,3.146e-4,0,0,0,0,7.967e-5,0.068,24.13,457.303,74.497,0.083,5.16,-28.486,429.037,314.036,0.05,0.592
20.74,6090.301,541.854,-32.063,561.237,32.716,1368.549,1.31,1368.549,0.055,146.223,6.501,35.353,-117.792,9.777,0.017,-3.086e-8,0.006,1.281e-4,6.78e4,5330,130.948,0.817,406.655,352.519,2.244,1.792,1.186e8,0,1571.609,0.356,0.356,0.217,0.092,0.047,0.003,0.007,-3.644e-4,0,0,0,0,1.308e-4,0.068,24.13,457.303,74.388,0.08,5.34,-28.662,427.423,313.929,0.05,0.593
20.79,6117.353,540.243,-32.345,559.608,32.706,1375.853,1.321,1375.853,0.055,145.94,4.848,35.353,-117.792,9.777,0.127,9.589e-9,-0.005,-1.258e-5,6.78e4,5330,130.948,0.817,406.437,352.519,2.235,1.787,1.179e8,0,1559.679,0.357,0.357,0.218,0.092,0.047,0.023,0.052,2.33e-5,0,0,0,0,-8.331e-5,0.068,24.13,457.303,74.276,0.076,4.804,-28.838,425.814,313.823,0.05,0.593
20.84,6144.325,538.625,-32.279,557.988,32.588,1383.144,1.332,1383.145,0.055,145.717,4.473,35.353,-117.792,9.777,0.159,-1.401e-8,-9.887e-4,1.217e-5,6.78e4,5330,130.948,0.817,406.605,352.519,2.241,1.783,1.173e8,0,1548.395,0.358,0.358,0.218,0.092,0.047,0.029,0.066,1.137e-4,0,0,0,0,-3.079e-6,0.067,24.13,457.303,74.221,0.074,4.832,-29.014,424.209,313.717,0.05,0.594
20.89,6171.216,537.02,-31.883,556.376,32.318,1390.424,1.342,1390.425,0.055,145.477,5.285,35.353,-117.792,9.777,0.084,-1.184e-8,0.002,-2.547e-5,6.78e4,5330,130.948,0.817,407.216,352.519,2.267,1.779,1.167e8,0,1537.483,0.358,0.358,0.219,0.092,0.047,0.015,0.035,-7.173e-5,0,0,0,0,1.713e-5,0.067,24.13,457.303,74.238,0.075,5.26,-29.188,422.61,313.611,0.05,0.595
20.94,6198.027,535.436,-31.506,554.772,32.074,1397.691,1.353,1397.691,0.055,145.193,6.007,35.353,-117.792,9.777,0.014,-1.046e-8,0.003,-1.336e-4,6.78e4,5330,130.948,0.817,407.769,352.519,2.29,1.774,1.161e8,0,1526.242,0.359,0.359,0.219,0.092,0.047,0.002,0.006,9.639e-5,0,0,0,0,3.847e-5,0.067,24.13,457.303,74.296,0.079,5.24,-29.363,421.015,313.505,0.05,0.596
20.99,6224.76,533.868,-31.214,553.178,31.868,1404.943,1.363,1404.943,0.056,144.879,6.423,35.353,-117.792,9.777,0.03,-2.236e-8,-0.003,1.257e-5,6.78e4,5330,130.948,0.817,408.09,352.519,2.303,1.769,1.154e8,0,1514.795,0.359,0.359,0.219,0.092,0.047,0.006,0.013,-4.831e-4,0,0,0,0,-3.415e-5,0.067,24.13,457.303,74.36,0.082,4.906,-29.536,419.425,313.4,0.05,0.597
21.04,6251.414,532.314,-30.969,551.592,31.681,1412.178,1.374,1412.179,0.056,144.55,6.679,35.353,-117.792,9.777,0.059,-1.616e-8,-0.002,2.534e-5,6.78e4,5330,130.948,0.817,408.275,352.519,2.311,1.765,1.148e8,0,1503.465,0.36,0.36,0.22,0.092,0.047,0.011,0.025,3.375e-4,0,0,0,0,-1.392e-5,0.067,24.13,457.303,74.409,0.085,4.594,-29.71,417.84,313.295,0.05,0.598
21.09,6277.991,530.774,-30.663,550.014,31.495,1419.397,1.385,1419.398,0.056,144.202,7.192,35.353,-117.792,9.777,0.11,0,1.329e-4,-6.077e-6,6.78e4,5330,130.948,0.817,408.34,352.519,2.313,1.76,1.142e8,0,1492.825,0.36,0.36,0.22,0.092,0.048,0.021,0.047,3.813e-4,0,0,0,0,5.721e-8,0.067,24.13,457.303,74.428,0.086,4.843,-29.882,416.259,313.19,0.05,0.598
21.14,6304.492,529.24,-30.75,548.444,31.377,1426.599,1.395,1426.599,0.056,143.86,6.243,35.353,-117.791,9.776,0.028,-6.106e-9,0.002,-5.074e-5,6.78e4,5330,130.948,0.817,409.016,352.519,2.341,1.755,1.135e8,0,1481.224,0.361,0.361,0.221,0.093,0.048,0.005,0.012,3.99e-4,0,0,0,0,1.801e-5,0.066,24.13,457.303,74.401,0.085,4.169,-30.055,414.682,313.086,0.05,0.599
21.19,6330.915,527.701,-30.795,546.883,31.277,1433.784,1.406,1433.785,0.056,143.571,5.467,35.353,-117.791,9.776,0.04,0,-0.002,-5.32e-5,6.78e4,5330,130.948,0.817,409.335,352.519,2.355,1.751,1.129e8,0,1470.017,0.362,0.362,0.221,0.093,0.048,0.008,0.018,-2.25e-4,0,0,0,0,-1.196e-5,0.066,24.13,457.303,74.359,0.084,3.737,-30.226,413.111,312.982,0.05,0.6
21.24,6357.262,526.166,-30.554,545.329,31.093,1440.956,1.417,1440.957,0.056,143.295,5.768,35.353,-117.791,9.776,0.01,6.916e-9,-0.001,-4.258e-5,6.78e4,5330,130.948,0.817,409.713,352.519,2.37,1.747,1.123e8,0,1459.771,0.362,0.362,0.221,0.093,0.048,0.002,0.004,-4.315e-4,0,0,0,0,-3.675e-6,0.066,24.13,457.303,74.333,0.083,4.18,-30.398,411.543,312.878,0.05,0.601
21.29,6383.532,524.642,-30.4,543.783,30.938,1448.113,1.428,1448.114,0.056,143.005,5.745,35.353,-117.791,9.776,0.009,5.936e-9,-0.001,-1.95e-5,6.78e4,5330,130.948,0.817,409.971,352.519,2.381,1.742,1.117e8,0,1449.345,0.363,0.363,0.222,0.093,0.048,0.002,0.004,1.584e-5,0,0,0,0,-3.556e-6,0.066,24.13,457.303,74.314,0.083,4.244,-30.568,410.016,312.774,0.05,0.602
21.34,6409.726,523.125,-30.32,542.245,30.807,1455.257,1.438,1455.257,0.057,142.724,5.46,35.353,-117.791,9.776,0.032,0,-4.649e-4,-2.277e-5,6.78e4,5330,130.948,0.817,410.17,352.519,2.389,1.738,1.111e8,0,1438.858,0.363,0.363,0.222,0.093,0.048,0.006,0.015,-1.253e-4,0,0,0,0,-7.212e-7,0.066,24.13,457.303,74.301,0.083,3.987,-30.739,408.544,312.671,0.05,0.603
21.39,6435.845,521.612,-30.157,540.714,30.651,1462.386,1.449,1462.387,0.057,142.453,5.481,35.353,-117.791,9.776,0.027,0,4.139e-4,2.151e-5,6.78e4,5330,130.948,0.817,410.467,352.519,2.402,1.733,1.106e8,0,1428.603,0.364,0.364,0.223,0.093,0.048,0.005,0.012,2.385e-4,0,0,0,0,5.749e-7,0.065,24.13,457.303,74.301,0.083,3.891,-30.908,407.076,312.568,0.05,0.603
21.44,6461.888,520.107,-30.048,539.191,30.511,1469.502,1.46,1469.503,0.057,142.183,5.294,35.353,-117.791,9.776,0.04,0,0.001,4.085e-5,6.78e4,5330,130.948,0.817,410.713,352.519,2.412,1.729,1.1e8,0,1418.098,0.364,0.364,0.223,0.093,0.048,0.008,0.019,-3.001e-4,0,0,0,0,5.113e-6,0.065,24.13,457.303,74.316,0.084,3.466,-31.078,405.613,312.466,0.05,0.604
21.49,6487.855,518.607,-29.938,537.676,30.37,1476.605,1.47,1476.605,0.057,141.924,5.105,35.353,-117.791,9.776,0.052,0,0.003,4.827e-5,6.78e4,5330,130.948,0.817,410.962,352.519,2.422,1.724,1.094e8,0,1407.472,0.365,0.365,0.224,0.093,0.049,0.01,0.025,-7.114e-6,0,0,0,0,2.161e-5,0.065,24.13,457.303,74.35,0.087,2.841,-31.247,404.154,312.363,0.05,0.605
21.54,6513.749,517.122,-29.418,536.169,30.119,1483.694,1.481,1483.695,0.057,141.639,6.461,35.353,-117.791,9.776,0.081,-6.487e-9,-0.002,1.343e-5,6.78e4,5330,130.948,0.817,411.037,352.519,2.425,1.72,1.088e8,0,1398.281,0.365,0.365,0.224,0.093,0.049,0.016,0.038,4.908e-4,0,0,0,0,-2.064e-5,0.065,24.13,457.303,74.4,0.088,3.566,-31.415,402.699,312.261,0.05,0.606
21.59,6539.568,515.66,-29.174,534.668,29.956,1490.767,1.492,1490.768,0.057,141.299,6.801,35.353,-117.791,9.776,0.118,0,6.788e-4,1.664e-5,6.78e4,5330,130.948,0.817,411.132,352.519,2.429,1.716,1.083e8,0,1388.573,0.366,0.366,0.224,0.093,0.049,0.023,0.056,1.914e-4,0,0,0,0,1.582e-6,0.065,24.13,457.303,74.418,0.089,3.692,-31.583,401.248,312.16,0.05,0.607
21.64,6565.315,514.203,-29.117,533.175,29.826,1497.824,1.503,1497.825,0.057,140.965,6.463,35.353,-117.791,9.776,0.089,-7.48e-9,0.003,2.804e-5,6.78e4,5330,130.948,0.817,411.524,352.519,2.445,1.712,1.077e8,0,1378.731,0.366,0.366,0.225,0.093,0.049,0.017,0.043,6.611e-5,0,0,0,0,3.878e-5,0.065,24.13,457.303,74.379,0.087,3.669,-31.75,399.802,312.058,0.05,0.61
21.69,6590.988,512.745,-29.22,531.689,29.742,1504.864,1.514,1504.865,0.058,140.663,5.546,35.353,-117.791,9.776,0.002,0,0.004,0.002,6.78e4,5330,130.948,0.817,412.332,352.519,2.479,1.707,1.072e8,0,1368.755,0.367,0.367,0.225,0.093,0.049,4.762e-4,0.001,-9.689e-5,0,0,0,0,6.843e-5,0.064,24.13,457.303,74.301,0.084,3.447,-31.917,398.359,311.957,0.05,0.611
21.74,6616.589,511.281,-29.312,530.211,29.685,1511.891,1.525,1511.892,0.058,140.411,4.686,35.353,-117.79,9.775,0.08,2.975e-8,-0.004,7.488e-6,6.78e4,5330,130.948,0.817,412.081,352.519,2.468,1.703,1.066e8,0,1358.922,0.367,0.367,0.225,0.093,0.049,0.016,0.039,2.298e-5,0,0,0,0,-4.404e-5,0.064,24.13,457.303,74.223,0.081,3.236,-32.083,396.921,311.856,0.05,0.612
21.79,6642.116,509.814,-29.341,528.739,29.619,1518.906,1.535,1518.907,0.058,140.196,4.049,35.353,-117.79,9.775,0.14,0,-6.272e-4,2.395e-5,6.78e4,5330,130.948,0.817,412.11,352.519,2.47,1.698,1.06e8,0,1349.014,0.368,0.368,0.226,0.093,0.049,0.028,0.068,4.961e-4,0,0,0,0,-1.382e-6,0.064,24.13,457.303,74.184,0.081,2.849,-32.249,395.487,311.756,0.05,0.613
21.84,6667.57,508.353,-28.993,527.274,29.384,1525.911,1.546,1525.911,0.058,139.981,4.779,35.353,-117.79,9.775,0.065,1.585e-8,0.002,-6.069e-7,6.78e4,5330,130.948,0.817,412.723,352.519,2.495,1.695,1.055e8,0,1339.792,0.368,0.368,0.226,0.093,0.049,0.013,0.031,-2.6e-4,0,0,0,0,1.973e-5,0.064,24.13,457.303,74.204,0.084,3.207,-32.415,394.056,311.656,0.05,0.614
21.89,6692.952,506.912,-28.701,525.817,29.185,1532.903,1.557,1532.904,0.058,139.726,5.292,35.353,-117.79,9.775,0.009,-7.283e-9,0.003,1.117e-4,6.78e4,5330,130.948,0.817,413.288,352.519,2.518,1.69,1.049e8,0,1330.228,0.369,0.369,0.227,0.093,0.05,0.002,0.005,-3.73e-4,0,0,0,0,3.439e-5,0.064,24.13,457.303,74.258,0.087,3.102,-32.58,392.63,311.556,0.05,0.615
21.94,6718.262,505.488,-28.242,524.366,28.968,1539.883,1.568,1539.883,0.058,139.434,6.445,35.353,-117.79,9.775,0.11,8.209e-9,-0.002,-3.025e-5,6.78e4,5330,130.948,0.817,413.095,352.519,2.51,1.687,1.044e8,0,1321.44,0.369,0.369,0.227,0.093,0.05,0.022,0.055,4.786e-4,0,0,0,0,-1.411e-5,0.063,24.13,457.303,74.309,0.091,3.652,-32.744,391.208,311.456,0.05,0.615
21.99,6743.501,504.082,-28.114,522.923,28.83,1546.846,1.579,1546.847,0.058,139.105,6.387,35.353,-117.79,9.775,0.109,0,0.001,-1.583e-5,6.78e4,5330,130.948,0.817,413.403,352.519,2.523,1.683,1.039e8,0,1311.986,0.37,0.37,0.227,0.093,0.05,0.022,0.055,-4.214e-4,0,0,0,0,6.256e-6,0.063,24.13,457.303,74.315,0.092,3.507,-32.908,389.79,311.356,0.05,0.616
22.04,6768.67,502.678,-28.016,521.486,28.702,1553.793,1.589,1553.794,0.059,138.789,6.239,35.353,-117.79,9.775,0.097,0,0.004,2.317e-5,6.78e4,5330,130.948,0.817,413.732,352.519,2.537,1.679,1.034e8,0,1302.966,0.37,0.37,0.228,0.093,0.05,0.019,0.049,8.137e-5,0,0,0,0,5.285e-5,0.063,24.13,457.303,74.266,0.09,3.748,-33.072,388.376,311.257,0.05,0.617
22.09,6793.769,501.275,-28.172,520.056,28.642,1560.725,1.6,1560.726,0.059,138.501,5.167,35.353,-117.79,9.775,0.009,3.885e-8,-0.005,-7.73e-5,6.78e4,5330,130.948,0.817,414.423,352.519,2.565,1.674,1.028e8,0,1293.457,0.371,0.371,0.228,0.093,0.05,0.002,0.005,4.451e-4,0,0,0,0,-1.005e-4,0.063,24.13,457.303,74.178,0.087,3.447,-33.235,386.966,311.158,0.05,0.618
22.14,6818.798,499.865,-28.142,518.633,28.548,1567.644,1.611,1567.645,0.059,138.257,4.8,35.353,-117.79,9.775,0.046,1.62e-8,-0.004,3.906e-5,6.78e4,5330,130.948,0.817,414.53,352.519,2.57,1.671,1.023e8,0,1284.666,0.371,0.371,0.228,0.093,0.05,0.009,0.024,-2.309e-4,0,0,0,0,-6.409e-5,0.063,24.13,457.303,74.09,0.084,3.769,-33.398,385.56,311.06,0.05,0.619
22.19,6843.756,498.461,-28.021,517.216,28.423,1574.551,1.622,1574.552,0.059,138.02,4.762,35.353,-117.79,9.775,0.049,2.202e-8,-0.003,4.711e-5,6.78e4,5330,130.948,0.817,414.773,352.519,2.58,1.667,1.018e8,0,1276.054,0.372,0.372,0.229,0.093,0.05,0.01,0.025,-3.357e-4,0,0,0,0,-3.321e-5,0.063,24.13,457.303,74.024,0.083,4.218,-33.56,384.157,310.962,0.05,0.62
22.24,6868.644,497.061,-27.986,515.806,28.33,1581.446,1.633,1581.447,0.059,137.79,4.399,35.353,-117.79,9.775,0.083,5.781e-9,-0.001,2.678e-5,6.78e4,5330,130.948,0.817,414.898,352.519,2.585,1.663,1.013e8,0,1266.959,0.372,0.372,0.229,0.093,0.05,0.017,0.043,-4.657e-4,0,0,0,0,-7.16e-6,0.062,24.13,457.303,73.985,0.083,4.088,-33.722,382.759,310.864,0.05,0.621
22.29,6893.462,495.665,-27.782,514.402,28.169,1588.33,1.644,1588.331,0.059,137.567,4.649,35.353,-117.79,9.775,0.055,0,6.51e-4,1.176e-5,6.78e4,5330,130.948,0.817,415.29,352.519,2.601,1.659,1.008e8,0,1258.368,0.373,0.373,0.229,0.093,0.051,0.011,0.029,3.986e-4,0,0,0,0,1.571e-6,0.062,24.13,457.303,73.981,0.084,4.226,-33.883,381.429,310.766,0.05,0.622
22.34,6918.21,494.283,-27.509,513.004,27.987,1595.203,1.655,1595.204,0.059,137.322,5.15,35.353,-117.79,9.775,9.593e-4,7.448e-9,-0.001,-6.101e-4,6.78e4,5330,130.948,0.817,415.459,352.519,2.608,1.655,1.003e8,0,1249.937,0.373,0.373,0.23,0.093,0.051,2.242e-4,2.789e-4,-3.666e-4,0,0,0,0,-5.34e-6,0.062,24.13,457.303,74.002,0.086,4.416,-34.044,380.117,310.668,0.05,0.622
22.39,6942.89,492.912,-27.381,511.613,27.856,1602.062,1.665,1602.063,0.06,137.063,5.121,35.353,-117.79,9.774,0.003,5.785e-9,-0.001,3.3e-5,6.78e4,5330,130.948,0.817,416.13,352.519,2.636,1.651,9.975e7,0,1241.058,0.374,0.374,0.23,0.093,0.051,5.358e-4,0.001,2.627e-4,0,0,0,0,-4.95e-6,0.062,24.13,457.303,74.026,0.089,4.069,-34.204,378.808,310.571,0.05,0.623
22.44,6967.502,491.548,-27.139,510.229,27.695,1608.909,1.676,1608.91,0.06,136.798,5.518,35.353,-117.789,9.774,0.048,0,-7.093e-4,1.219e-6,6.78e4,5330,130.948,0.817,416.124,352.519,2.636,1.647,9.926e7,0,1232.71,0.374,0.374,0.231,0.093,0.051,0.01,0.026,-3.245e-4,0,0,0,0,-1.895e-6,0.062,24.13,457.303,74.044,0.092,4.2,-34.364,377.503,310.474,0.05,0.624
22.49,6992.045,490.197,-26.963,508.851,27.557,1615.742,1.687,1615.743,0.06,136.515,5.688,35.353,-117.789,9.774,0.069,0,0.001,-1.914e-5,6.78e4,5330,130.948,0.817,416.27,352.519,2.642,1.643,9.878e7,0,1224.411,0.375,0.375,0.231,0.093,0.051,0.014,0.038,-1.005e-4,0,0,0,0,3.971e-6,0.062,24.13,457.303,74.042,0.092,4.322,-34.524,376.201,310.377,0.05,0.625
22.54,7016.522,488.851,-26.866,507.479,27.44,1622.56,1.698,1622.561,0.06,136.232,5.585,35.353,-117.789,9.774,0.061,-5.13e-9,0.003,-4.132e-6,6.78e4,5330,130.948,0.817,416.549,352.519,2.654,1.639,9.829e7,0,1216.172,0.375,0.375,0.231,0.093,0.051,0.013,0.034,-1.898e-4,0,0,0,0,2.872e-5,0.061,24.13,457.303,74.006,0.091,4.461,-34.683,374.903,310.281,0.05,0.626
22.59,7040.931,487.51,-26.802,506.113,27.335,1629.365,1.709,1629.366,0.06,135.957,5.375,35.353,-117.789,9.774,0.041,-1.824e-8,0.004,3.854e-5,6.78e4,5330,130.948,0.817,416.856,352.519,2.666,1.636,9.782e7,0,1208.122,0.376,0.376,0.232,0.093,0.051,0.009,0.022,-9.657e-5,0,0,0,0,6.414e-5,0.061,24.13,457.303,73.942,0.089,4.741,-34.842,373.608,310.185,0.05,0.627
22.64,7065.272,486.166,-26.973,504.753,27.316,1636.157,1.72,1636.157,0.06,135.713,4.32,35.353,-117.789,9.774,0.069,7.093e-9,-0.004,2.058e-5,6.78e4,5330,130.948,0.817,417.031,352.519,2.674,1.632,9.731e7,0,1199.426,0.376,0.376,0.232,0.093,0.051,0.014,0.038,-4.884e-4,0,0,0,0,-5.884e-5,0.061,24.13,457.303,73.865,0.087,4.265,-35,372.318,310.089,0.05,0.627
22.69,7089.547,484.82,-26.801,503.399,27.177,1642.937,1.731,1642.938,0.06,135.5,4.504,35.353,-117.789,9.774,0.049,7.551e-9,-0.002,2.461e-5,6.78e4,5330,130.948,0.817,417.358,352.519,2.687,1.628,9.685e7,0,1191.704,0.377,0.377,0.232,0.093,0.051,0.01,0.027,-4.087e-4,0,0,0,0,-1.38e-5,0.061,24.13,457.303,73.813,0.085,4.771,-35.158,371.03,309.993,0.05,0.628
22.74,7113.755,483.482,-26.706,502.05,27.066,1649.706,1.742,1649.707,0.06,135.275,4.401,35.353,-117.789,9.774,0.057,9.034e-9,-8.517e-4,2.115e-5,6.78e4,5330,130.948,0.817,417.561,352.519,2.696,1.624,9.637e7,0,1183.566,0.377,0.377,0.233,0.093,0.052,0.012,0.032,4.612e-4,0,0,0,0,-2.82e-6,0.061,24.13,457.303,73.789,0.086,4.77,-35.315,369.746,309.898,0.05,0.629
22.79,7137.895,482.15,-26.589,500.708,26.945,1656.465,1.753,1656.465,0.061,135.057,4.367,35.353,-117.789,9.774,0.057,0,7.793e-4,1.573e-5,6.78e4,5330,130.948,0.817,417.793,352.519,2.705,1.62,9.589e7,0,1175.306,0.378,0.378,0.233,0.093,0.052,0.012,0.033,1.211e-4,0,0,0,0,2.374e-6,0.061,24.13,457.303,73.79,0.087,4.584,-35.472,368.466,309.803,0.05,0.63
22.84,7161.97,480.826,-26.324,499.372,26.769,1663.212,1.764,1663.213,0.061,134.828,4.863,35.353,-117.789,9.774,6.961e-4,0,-0.002,4.158e-4,6.78e4,5330,130.948,0.817,418.828,352.519,2.748,1.617,9.542e7,0,1167.424,0.378,0.378,0.233,0.093,0.052,1.332e-4,4.799e-4,2.755e-5,0,0,0,0,-1.006e-5,0.06,24.13,457.303,73.815,0.09,4.749,-35.628,367.189,309.708,0.05,0.631
22.89,7185.978,479.518,-26.029,498.042,26.598,1669.947,1.775,1669.948,0.061,134.568,5.474,35.353,-117.789,9.774,0.071,1.351e-8,-6.139e-4,-4.891e-5,6.78e4,5330,130.948,0.817,418.174,352.519,2.721,1.613,9.496e7,0,1159.774,0.379,0.379,0.234,0.093,0.052,0.015,0.041,4.586e-4,0,0,0,0,-1.488e-6,0.06,24.13,457.303,73.838,0.092,5.071,-35.784,365.916,309.614,0.05,0.632
22.94,7209.922,478.217,-26.076,496.718,26.524,1676.668,1.785,1676.669,0.061,134.304,4.856,35.353,-117.789,9.774,0.008,0,7.466e-4,-9.211e-5,6.78e4,5330,130.948,0.817,418.928,352.519,2.752,1.609,9.446e7,0,1151.193,0.379,0.379,0.234,0.093,0.052,0.002,0.005,-1.561e-4,0,0,0,0,2.215e-6,0.06,24.13,457.303,73.835,0.094,4.386,-35.94,364.646,309.519,0.05,0.634
22.99,7233.8,476.914,-26.008,495.4,26.423,1683.378,1.796,1683.379,0.061,134.07,4.663,35.353,-117.789,9.774,0.01,7.443e-9,-3.595e-4,-2.415e-5,6.78e4,5330,130.948,0.817,418.759,352.519,2.745,1.605,9.398e7,0,1143.129,0.38,0.38,0.234,0.093,0.052,0.002,0.006,-3.091e-4,0,0,0,0,-5.162e-7,0.06,24.13,457.303,73.824,0.094,4.169,-36.095,363.38,309.425,0.05,0.635
23.04,7257.613,475.618,-25.803,494.088,26.278,1690.075,1.807,1690.076,0.061,133.831,4.969,35.353,-117.789,9.774,0.027,9.375e-9,6.002e-4,-1.784e-6,6.78e4,5330,130.948,0.817,419.124,352.519,2.76,1.601,9.352e7,0,1135.6,0.38,0.38,0.235,0.093,0.052,0.006,0.016,-1.601e-5,0,0,0,0,1.446e-6,0.06,24.13,457.303,73.815,0.093,4.464,-36.25,362.117,309.331,0.05,0.636
23.09,7281.362,474.329,-25.787,492.782,26.193,1696.761,1.818,1696.762,0.061,133.588,4.594,35.353,-117.788,9.773,0.011,1.125e-8,-0.001,-3.744e-5,6.78e4,5330,130.948,0.817,419.38,352.519,2.771,1.597,9.304e7,0,1127.426,0.381,0.381,0.235,0.093,0.052,0.002,0.006,1.883e-4,0,0,0,0,-4.438e-6,0.06,24.13,457.303,73.799,0.092,4.122,-36.404,360.858,309.238,0.05,0.637
23.14,7305.046,473.042,-25.658,491.482,26.072,1703.434,1.829,1703.435,0.062,133.36,4.623,35.353,-117.788,9.773,0.005,9.109e-9,-5.908e-4,2.246e-5,6.78e4,5330,130.948,0.817,419.908,352.519,2.793,1.594,9.258e7,0,1119.631,0.381,0.381,0.235,0.093,0.053,0.001,0.003,2.343e-4,0,0,0,0,-1.417e-6,0.06,24.13,457.303,73.785,0.091,4.16,-36.558,359.602,309.145,0.05,0.638
23.19,7328.666,471.766,-25.39,490.187,25.91,1710.097,1.841,1710.098,0.062,133.117,5.166,35.353,-117.788,9.773,0.058,5.473e-9,0.001,-5.087e-6,6.78e4,5330,130.948,0.817,419.719,352.519,2.785,1.59,9.215e7,0,1112.441,0.381,0.381,0.236,0.093,0.053,0.013,0.035,1.138e-4,0,0,0,0,6.824e-6,0.059,24.13,457.303,73.769,0.09,4.757,-36.712,358.349,309.052,0.05,0.639
23.24,7352.223,470.5,-25.278,488.898,25.798,1716.746,1.852,1716.747,0.062,132.855,5.155,35.353,-117.788,9.773,0.059,0,0.003,-8.355e-6,6.78e4,5330,130.948,0.817,419.976,352.519,2.796,1.587,9.171e7,0,1104.959,0.382,0.382,0.236,0.093,0.053,0.013,0.037,-3.453e-5,0,0,0,0,3.833e-5,0.059,24.13,457.303,73.73,0.091,5.007,-36.865,357.1,308.959,0.05,0.64
23.29,7375.716,469.237,-25.263,487.614,25.716,1723.382,1.863,1723.383,0.062,132.605,4.806,35.353,-117.788,9.773,0.022,1.048e-8,0.004,-1.062e-5,6.78e4,5330,130.948,0.817,420.416,352.519,2.814,1.583,9.126e7,0,1097.419,0.382,0.382,0.236,0.093,0.053,0.005,0.014,-2.204e-4,0,0,0,0,6.962e-5,0.059,24.13,457.303,73.663,0.092,5.126,-37.018,355.862,308.866,0.05,0.641
23.34,7399.147,467.973,-25.283,486.336,25.655,1730.007,1.874,1730.008,0.062,132.376,4.357,35.353,-117.788,9.773,0.027,0,-0.004,-5.043e-6,6.78e4,5330,130.948,0.817,420.636,352.519,2.823,1.58,9.083e7,0,1090.102,0.383,0.383,0.237,0.093,0.053,0.006,0.017,9.988e-5,0,0,0,0,-6.721e-5,0.059,24.13,457.303,73.587,0.093,5.21,-37.17,354.69,308.774,0.05,0.642
23.39,7422.514,466.71,-25.221,485.063,25.568,1736.62,1.885,1736.621,0.062,132.165,4.195,35.353,-117.788,9.773,0.044,0,-0.003,-1.496e-5,6.78e4,5330,130.948,0.817,420.803,352.519,2.83,1.576,9.041e7,0,1083.009,0.383,0.383,0.237,0.093,0.053,0.01,0.028,3.521e-4,0,0,0,0,-3.743e-5,0.059,24.13,457.303,73.523,0.094,5.473,-37.322,353.522,308.682,0.05,0.643
23.44,7445.818,465.449,-25.212,483.795,25.503,1743.223,1.896,1743.224,0.062,131.964,3.842,35.353,-117.788,9.773,0.082,7.183e-9,-0.001,-2.399e-5,6.78e4,5330,130.948,0.817,420.937,352.519,2.835,1.573,8.997e7,0,1075.588,0.384,0.384,0.237,0.093,0.053,0.018,0.051,-3.219e-4,0,0,0,0,-8.655e-6,0.059,24.13,457.303,73.482,0.094,5.326,-37.473,352.356,308.59,0.05,0.644
23.49,7469.059,464.191,-25.08,482.532,25.383,1749.817,1.907,1749.818,0.062,131.773,3.911,35.353,-117.788,9.773,0.071,7.142e-9,7.185e-4,-2.053e-5,6.78e4,5330,130.948,0.817,421.266,352.519,2.849,1.569,8.954e7,0,1068.296,0.384,0.384,0.238,0.093,0.053,0.016,0.045,4.041e-4,0,0,0,0,2.171e-6,0.058,24.13,457.303,73.478,0.092,5.283,-37.624,351.194,308.499,0.05,0.645
